,subtasks,comments,issue_link_count,outward_count,inward_count,issue_type,priority,log_change_count,estimation_error,estimate_class
2172,0,6,0,0,0,Sub-task,3.0,12.0,430.0,overestimated
2173,0,2,0,0,0,Sub-task,2.0,10.0,142.0,overestimated
2174,0,2,0,0,0,New Feature,2.0,13.0,1006.0,overestimated
2175,0,16,0,0,0,Improvement,4.0,24.0,142.0,overestimated
2176,0,19,0,0,0,Improvement,2.0,12.0,286.0,overestimated
2177,0,9,1,1,0,Bug,0.0,10.0,4.0,overestimated
2178,0,19,0,0,0,Improvement,2.0,12.0,286.0,overestimated
2179,0,29,0,0,0,Improvement,2.0,13.0,2014.0,overestimated
2180,3,51,5,3,2,Bug,2.0,34.0,-0.5,underestimated
2181,0,1,0,0,0,Bug,2.0,12.0,10.0,overestimated
2182,0,5,0,0,0,Bug,2.0,10.0,22.0,overestimated
2183,0,1,0,0,0,Bug,3.0,2.0,142.0,overestimated
2184,0,0,0,0,0,New Feature,2.0,2.0,1006.0,overestimated
2185,0,7,0,0,0,New Feature,2.0,11.0,4.0,overestimated
2186,0,6,0,0,0,Bug,2.0,20.0,82.0,overestimated
2187,0,8,0,0,0,Improvement,2.0,8.0,-0.8,underestimated
2188,0,21,0,0,0,Improvement,2.0,11.0,70.0,overestimated
2190,0,2,0,0,0,Bug,2.0,12.0,-0.6666666666666666,underestimated
2191,0,1,0,0,0,Bug,2.0,11.0,1.25,overestimated
2192,0,2,0,0,0,Bug,2.0,11.0,-0.75,underestimated
2193,0,1,0,0,0,Bug,2.0,13.0,-0.5454545454545454,underestimated
2194,0,1,0,0,0,Improvement,2.0,11.0,1.0,overestimated
2195,0,2,0,0,0,Improvement,2.0,13.0,-0.8571428571428571,underestimated
2196,0,1,0,0,0,Improvement,2.0,11.0,4.666666666666667,overestimated
2198,0,1,0,0,0,Task,2.0,8.0,-0.75,underestimated
2199,0,1,0,0,0,Sub-task,2.0,8.0,-0.4,underestimated
2200,0,2,0,0,0,Improvement,2.0,11.0,-0.9090909090909091,underestimated
2201,0,1,0,0,0,Task,2.0,9.0,-0.3333333333333333,underestimated
2203,0,4,0,0,0,Bug,3.0,8.0,-0.8,underestimated
2204,0,3,0,0,0,New Feature,3.0,11.0,250.0,overestimated
2206,0,2,0,0,0,Improvement,2.0,3.0,-0.6666666666666666,underestimated
2207,0,7,0,0,0,Sub-task,2.0,4.0,0.3333333333333333,overestimated
2208,0,4,0,0,0,Sub-task,2.0,6.0,-0.6666666666666666,underestimated
2209,0,1,0,0,0,Bug,2.0,14.0,6.0,overestimated
2211,0,4,0,0,0,Improvement,3.0,6.0,1.0,overestimated
2212,0,1,6,6,0,New Feature,2.0,10.0,-0.9230769230769231,underestimated
2213,0,3,1,1,0,Bug,3.0,11.0,1.0,overestimated
2214,0,5,0,0,0,Bug,3.0,6.0,4.0,overestimated
2215,0,5,0,0,0,Bug,4.0,10.0,10.0,overestimated
2216,0,5,0,0,0,Bug,3.0,9.0,70.0,overestimated
