,subtasks,comments,issue_link_count,outward_count,inward_count,issue_type,priority,log_change_count,estimation_error,estimate_class
1932,0,0,0,0,0,Sub-task,2.0,4.0,2.1012203876525484,overestimated
1933,0,0,0,0,0,Sub-task,2.0,9.0,0.8759770713913496,overestimated
1934,0,1,0,0,0,Sub-task,2.0,6.0,0.5254237288135594,overestimated
1935,0,8,3,2,1,Task,2.0,20.0,7.6,overestimated
1937,0,6,0,0,0,Task,2.0,10.0,4.0,overestimated
1938,0,0,0,0,0,Improvement,3.0,14.0,166.0,overestimated
1939,0,3,0,0,0,Task,3.0,5.0,8.0,overestimated
1940,0,5,0,0,0,Improvement,3.0,8.0,10.923076923076923,overestimated
1942,0,19,2,1,1,New Feature,3.0,77.0,2.6451612903225805,overestimated
1943,0,13,0,0,0,Bug,3.0,10.0,70.0,overestimated
1944,0,0,0,0,0,Bug,3.0,4.0,1.0,overestimated
1945,0,3,0,0,0,Wish,2.0,5.0,2.0,overestimated
1946,0,15,0,0,0,Bug,2.0,5.0,94.0,overestimated
1947,0,5,1,0,1,Bug,1.0,6.0,1.0,overestimated
1949,0,11,0,0,0,Bug,2.0,6.0,1006.0,overestimated
1950,0,0,0,0,0,Improvement,3.0,2.0,502.0,overestimated
1951,0,1,0,0,0,Improvement,2.0,5.0,4.0,overestimated
1952,0,0,0,0,0,New Feature,2.0,4.0,286.0,overestimated
1954,0,1,0,0,0,Bug,3.0,6.0,4.0,overestimated
1956,0,3,0,0,0,Bug,3.0,13.0,401.2,overestimated
1957,0,8,2,1,1,Bug,2.0,130.0,0.7692307692307693,overestimated
1959,0,4,0,0,0,Improvement,3.0,23.0,7.6,overestimated
1960,0,71,0,0,0,Sub-task,2.0,16.0,22.0,overestimated
1961,3,3,1,1,0,New Feature,2.0,21.0,0.5,overestimated
1962,0,1,0,0,0,Sub-task,2.0,12.0,0.4117647058823529,overestimated
1965,0,7,0,0,0,Bug,3.0,34.0,46.0,overestimated
1966,0,5,0,0,0,Bug,3.0,23.0,98.8,overestimated
1967,0,3,0,0,0,Bug,2.0,43.0,12.55,overestimated
1968,0,7,0,0,0,Improvement,3.0,45.0,54.0,overestimated
1970,0,1,0,0,0,Improvement,3.0,4.0,4.0,overestimated
1971,0,1,0,0,0,Improvement,3.0,2.0,4.0,overestimated
1974,0,11,0,0,0,Bug,2.0,19.0,2.5,overestimated
1977,0,42,2,1,1,Improvement,2.0,6.0,82.0,overestimated
1978,0,3,1,1,0,Improvement,2.0,6.0,22.0,overestimated
1979,0,5,0,0,0,Improvement,0.0,9.0,502.0,overestimated
1980,0,10,0,0,0,Bug,3.0,12.0,1.0,overestimated
1983,0,1,0,0,0,Improvement,3.0,5.0,2.3333333333333335,overestimated
1986,0,0,1,0,1,Improvement,2.0,19.0,0.6,overestimated
1988,0,1,0,0,0,Improvement,1.0,10.0,1.0,overestimated
1989,0,0,0,0,0,Improvement,3.0,10.0,142.0,overestimated
1990,0,0,1,0,1,New Feature,2.0,10.0,502.0,overestimated
1991,0,1,0,0,0,Bug,2.0,9.0,34.0,overestimated
1992,0,4,0,0,0,Improvement,3.0,13.0,3.0,overestimated
1993,0,0,0,0,0,Improvement,3.0,18.0,16.0,overestimated
1994,0,5,0,0,0,Improvement,2.0,30.0,10.0,overestimated
1995,0,2,0,0,0,Sub-task,2.0,11.0,70.0,overestimated
1996,0,3,0,0,0,Task,2.0,9.0,358.0,overestimated
1997,0,1,0,0,0,Sub-task,2.0,13.0,34.0,overestimated
1998,0,0,0,0,0,Sub-task,3.0,8.0,70.0,overestimated
1999,0,0,0,0,0,Sub-task,3.0,9.0,142.0,overestimated
2000,0,1,0,0,0,Sub-task,2.0,27.0,24.181818181818183,overestimated
2001,0,0,0,0,0,Sub-task,2.0,9.0,358.0,overestimated
2002,0,0,0,0,0,Sub-task,2.0,9.0,502.0,overestimated
2003,0,0,0,0,0,Sub-task,2.0,11.0,502.0,overestimated
2004,0,4,0,0,0,Improvement,2.0,16.0,286.0,overestimated
2005,0,1,0,0,0,Bug,2.0,10.0,70.0,overestimated
2006,0,0,0,0,0,Sub-task,2.0,12.0,142.0,overestimated
2007,0,1,0,0,0,Improvement,2.0,4.0,65.66666666666667,overestimated
2009,0,1,0,0,0,Task,2.0,7.0,286.0,overestimated
2010,0,1,0,0,0,Bug,2.0,12.0,142.0,overestimated
2011,0,1,0,0,0,Improvement,2.0,23.0,13.0,overestimated
2012,0,0,1,0,1,Epic,2.0,25.0,718.0,overestimated
2013,0,3,1,0,1,Bug,2.0,36.0,28.857142857142858,overestimated
2014,0,1,1,0,1,Improvement,2.0,25.0,190.0,overestimated
2015,0,5,1,1,0,Task,2.0,43.0,48.8235294117647,overestimated
2016,0,0,0,0,0,Bug,1.0,5.0,142.0,overestimated
2017,0,5,0,0,0,Improvement,2.0,27.0,574.0,overestimated
2018,0,2,2,1,1,Improvement,2.0,52.0,65.2,overestimated
2019,0,1,1,0,1,Improvement,4.0,19.0,34.0,overestimated
2020,0,2,0,0,0,Improvement,2.0,40.0,40.35294117647059,overestimated
